Heuristic	min (us)	mean (us)	q0.9 (us)	max (us)
queue	0	0.8590086546026751	2	7
forward	2	2.1392088132198297	3	22
priorities	1	1.89379235982748	3	16
minmax	0	0.025243286749103682	0	6
non_miopyc	0	3.6459279038718293	8	59
preparedness	0	34.5281254712713	84	1667
prep2	0	60.91834032222467	189	1754
district	0	0.21485079805690493	1	14
ordered	0	0.06102122884129805	0	6
