Heuristic	min (us)	mean (us)	q0.9 (us)	max (us)
queue	0	1.5406344061125261	2	17
forward	2	2.200050075112669	3	13
priorities	2	2.644743602918508	4	65
minmax	0	0.018174634531805612	0	6
non_miopyc	0	3.994558175693185	6	64
preparedness	0	40.75701214939253	111	2459
prep2	0	106.83280757097792	337	2009
district	0	0.21070878274268104	1	16
ordered	0	0.1707017830852282	1	14
