id,lat,long
0,-22.879566,-43.215626
1,-22.892333,-43.240194
2,-22.908684,-43.187298
3,-22.93374,-43.179844
4,-22.957467,-43.199358
5,-22.97609,-43.19344
6,-22.994532,-43.592219
7,-22.907446,-43.562716
8,-22.914198,-43.68467
9,-22.986192,-43.188019
