id,lat,long
0,-22.908249,-43.19019
1,-22.900397,-43.277862
2,-22.977496,-43.224035
3,-22.994482,-43.363708
4,-22.912783,-43.687784
5,-22.804507,-43.210922
6,-22.866617,-43.441903
7,-22.908,-43.562373
8,-22.953179,-43.176977
9,-22.830417,-43.32818
